sample_index,time_s,wall_time,ros_time,q_shoulder_pan_joint,q_shoulder_lift_joint,q_elbow_joint,q_wrist_1_joint,q_wrist_2_joint,q_wrist_3_joint,dq_msg_shoulder_pan_joint,dq_msg_shoulder_lift_joint,dq_msg_elbow_joint,dq_msg_wrist_1_joint,dq_msg_wrist_2_joint,dq_msg_wrist_3_joint,dq_fd_shoulder_pan_joint,dq_fd_shoulder_lift_joint,dq_fd_elbow_joint,dq_fd_wrist_1_joint,dq_fd_wrist_2_joint,dq_fd_wrist_3_joint,ddq_fd_shoulder_pan_joint,ddq_fd_shoulder_lift_joint,ddq_fd_elbow_joint,ddq_fd_wrist_1_joint,ddq_fd_wrist_2_joint,ddq_fd_wrist_3_joint,jerk_fd_shoulder_pan_joint,jerk_fd_shoulder_lift_joint,jerk_fd_elbow_joint,jerk_fd_wrist_1_joint,jerk_fd_wrist_2_joint,jerk_fd_wrist_3_joint
3037,30.37,1782105386.977483,31.6,-1.097338450084389,-1.213328592857749,1.3471721594404098,-1.61122798415559,-1.6238968949375248,0.9505359359737371,-1.2257772375160274e-05,0.007994050416511482,0.017899759841961523,-0.024313653934184144,-0.0072102609276208564,0.0005789751542134204,6.938520868970954e-10,6.963389864722558e-10,-1.8705748061620397e-10,2.828528522513807e-10,-2.612566163406882e-09,9.372911335958634e-10,0.09030134439104234,0.0962615308797517,-0.19401519097790954,0.39369989560015645,-0.5710160758363988,-3.515033558838612,4.515070937092439,4.813082435877398,-9.700761114359995,19.68499673413588,-28.550815942481986,-175.7516739016371
3038,30.38,1782105386.987467,31.61,-1.097338450080267,-1.21332859285385,1.3471721594393555,-1.6112279841539443,-1.6238968949532206,0.9505359359793859,-1.2253651812306297e-05,0.007994054315138525,0.017899758788399143,-0.024313652289055014,-0.007210276622824622,0.0005789808026969035,0.0018060285469800874,0.0019252326372196649,-0.0038803043448183416,0.007873998641372282,-0.011420327487158488,-0.07030066906914101,0.09030124572294643,0.09626129124424028,-0.19401513903865666,0.3936998352701044,-0.571015814987634,-3.5150336370736306,-9.030148101274833,-9.626176444168934,19.401524611240834,-39.36999651490137,57.101651461872954,351.50334115231
3039,30.39,1782105386.997444,31.62,-1.0973023295134494,-1.2132900882050046,1.3470945533535135,-1.6110705041827627,-1.6241253014872679,0.9491299225923537,-1.2101574251528844e-05,0.0079941026344129,0.017898920444164974,-0.024309152604083374,-0.007211811891143978,0.0005795593765795221,0.0018060256083103354,0.0019252265212230668,-0.0038803029678291523,0.007873996988251974,-0.011420318912314542,-0.070300671804155,-0.09030161763451464,-0.09626199800369124,0.19401530124703673,-0.393700034698134,0.5710169534014417,3.515033264209935,-9.030130107206375,-9.626135520335723,19.401515568092382,-39.36998589665731,57.10160169254652,351.50335653222066
3040,30.4,1782105387.007386,31.63,-1.0973023295681008,-1.2132900883234254,1.347094553379999,-1.6110705042141793,-1.6241253013314672,0.9491299225433023,-1.2156217519028268e-05,0.007993984214973974,0.017898946929295303,-0.024309184022088412,-0.0072116560901115696,0.0005795103253738981,-3.805709525295242e-09,-7.3228534347435925e-09,1.6801209312689025e-09,-2.052587433354347e-09,1.1580866043914284e-08,-3.784968782838405e-09,-0.0903013564212414,-0.09626141916253844,0.19401517232332055,-0.39369988266330486,0.5710162188636777,3.51503349357313,4.515088806602755,4.813116610371743,-9.700768835081835,19.685006219739293,-28.550870639777568,-175.7516558957381
3041,30.41,1782105387.0174103,31.64,-1.0973023295895636,-1.2132900883514617,1.347094553387116,-1.6110705042238143,-1.6241253012556505,0.9491299225166543,-1.217768004298812e-05,0.00799395618013676,0.01789895404650147,-0.024309193654531283,-0.007211580274327948,0.0005794836775043648,-1.5201138126030855e-09,-1.8620269770508457e-09,4.786357976627187e-10,-6.65011157252593e-10,5.464954710987513e-09,-1.932718873831618e-09,1.584975706236731e-07,3.34203775764695e-07,-7.545466473855805e-08,8.969678333413224e-08,-4.5939430037829097e-07,1.462939991370042e-07,0.13410892616861236,-0.5215469489528113,1.2815133078092877,-3.17402471665687,-0.8940704285010206,0.0745002279067819
3042,30.419999999999998,1782105387.0274363,31.65,-1.0973023295985032,-1.2132900883606659,1.3470945533895717,-1.6110705042274798,-1.624125301222168,0.9491299225046479,-1.218661772907624e-05,0.007993946976268483,0.017898956502609756,-0.024309197321021197,-0.007211546791856526,0.0005794716718961037,-6.357581128213496e-10,-6.387779194483301e-10,1.7102763649745611e-10,-2.5865176667139167e-10,2.3929800363475806e-09,-8.590888000981067e-10,-0.08761917789780599,-0.10669235814152235,0.21964543847935883,-0.45718037699613856,0.5531348102932583,3.516523498128768,-4.380961083559753,-5.33462137719216,10.982272681412585,-22.859019796866484,27.656747949868482,175.8261722357478
3043,30.43,1782105387.0373864,31.66,-1.0973023296022788,-1.2132900883642372,1.3470945533905363,-1.611070504228987,-1.624125301207791,0.9491299224994725,-1.2190393178877883e-05,0.007993943403725924,0.01789895746674543,-0.024309198828179616,-0.007211532413392181,0.0005794664954176138,-0.0017523850780705175,-0.0021338490248581365,0.004392909248224441,-0.009143608204936982,0.011062701670823571,0.07033046802987997,-0.08761906317359143,-0.10669209334002724,0.21964537817350424,-0.45718030624037415,0.553134499602861,3.5165235910076307,8.761932000512711,10.669260125285245,-21.96454968813969,45.7180450526034,-55.31352648986106,-351.65233465952156
3044,30.44,1782105387.0473962,31.67,-1.0973373773000645,-1.213332765341163,1.3471824115745363,-1.6112533763915786,-1.6239040471887516,0.9505365318652457,-1.2357045511691032e-05,0.00799389213915057,0.01789989506850654,-0.024314311249780795,-0.007209954780499657,0.0005788202143568328,-0.0017523818992302154,-0.002133842505578798,0.004392907734498408,-0.009143606383460678,0.011062692385038986,0.07033047096107481,0.08761946211247565,0.10669284436421589,-0.2196455552835036,0.45718052405607235,-0.553135719504136,-3.5165231950627627,8.761912064654524,10.669215991574276,-21.964539561518194,45.71803309853493,-55.31347090409794,-351.6523516713578
3045,30.45,1782105387.0573602,31.68,-1.0973373772402635,-1.2133327652143489,1.3471824115452264,-1.6112533763566563,-1.62390404736009,0.9505365319186945,-1.2297252109658244e-05,0.00799401895199504,0.017899865757646315,-0.024314276328078258,-0.007210126118563751,0.0005788736628438177,4.164178335486213e-09,7.862425377425097e-09,-1.857443976405193e-09,2.2761810214433353e-09,-1.2719254982584971e-08,4.128651198698208e-09,0.08761917811955758,0.10669222649152953,-0.21964541305700636,0.4571803557306299,-0.5531349184794672,-3.5165234424218736,-4.380981777014812,-5.33466012944595,10.98228193903641,-22.859031184482156,27.65681122657189,175.8261517803458
3046,30.46,1782105387.0673356,31.69,-1.097337377216781,-1.2133327651839145,1.3471824115373874,-1.611253376346055,-1.6239040474431365,0.9505365319478187,-1.2273770880818692e-05,0.007994049384677838,0.017899857919052437,-0.02431426572453114,-0.007210209164059633,0.0005789027869255706,1.663160276166309e-09,2.0242509890522342e-09,-5.266400648906711e-10,7.311484750971431e-10,-5.984546191939444e-09,2.1126638216628635e-09,-1.7342784985883018e-07,-3.582247387611644e-07,8.349729796462506e-08,-9.96337234937354e-08,5.05027486497007e-07,-1.5945467168875194e-07,-4.380962328785119,-5.334615695194117,10.982271782929343,-22.859019321971186,27.656758081705604,175.82616784845268
